Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,4/5/2020,9533.5,9533.5,9266.95,9293.5,-566.4,-5.74,687487134,29785.95,21.39,2.65,1.64
Nifty Next 50,4/5/2020,23432,23486.15,23077.75,23108.95,-993.8,-4.12,732616722,8009.11,62.05,3.05,1.43
Nifty 100,4/5/2020,9682.65,9683.25,9430.35,9454.05,-552.85,-5.52,1424063547,37809.41,23.57,2.69,1.61
Nifty 200,4/5/2020,4922.45,4922.8,4797.75,4810.05,-275.05,-5.41,1938621322,43796.75,23.04,2.58,1.6
Nifty 500,4/5/2020,7764.95,7765.8,7578.75,7596.9,-416,-5.19,2167488400,46673.18,24.06,2.49,1.57
Nifty Midcap 50,4/5/2020,3605.35,3608.55,3530.95,3548.65,-173.75,-4.67,469363900,5080.35,17.96,1.55,1.82
NIFTY Midcap 100,4/5/2020,13119.05,13124.75,12862.9,12908.4,-593.6,-4.4,514557775,5987.33,19.27,1.87,1.49
NIFTY Smallcap 100,4/5/2020,3987.5,3992.65,3932.7,3946.35,-131.65,-3.23,133772469,1804.94,,1.33,1.79
Nifty50 Dividend Points,4/5/2020,-,-,-,0.99,0,-,-,-,-,-,-
Nifty Auto,4/5/2020,5647.85,5652.8,5436.05,5476.2,-425.2,-7.21,177071898,3342.24,17.93,2.39,2.02
Nifty Bank,4/5/2020,20514.75,20530.45,19643.6,19743.75,-1790.75,-8.32,328804506,7635.19,22.66,1.85,0.49
Nifty Energy,4/5/2020,12825.55,12919.65,12689.15,12726.65,-428.05,-3.25,134222641,4699.78,10.15,1.23,4.04
Nifty Financial Services,4/5/2020,10120.65,10128.2,9627.1,9679.95,-890.85,-8.43,236130769,10364.1,20.37,2.69,0.76
Nifty FMCG,4/5/2020,28197.45,28235.45,27544.75,27599,-1070.3,-3.73,74361350,4647.32,32.16,9.37,1.49
Nifty IT,4/5/2020,13646.1,13700.25,13424.35,13454.25,-654.1,-4.64,48661828,2947.71,16.95,4.35,2.35
Nifty Media,4/5/2020,1126.25,1130.5,1099.55,1108.55,-51.2,-4.41,25765811,467.95,153.66,1.4,1.85
Nifty Metal,4/5/2020,1769.25,1772.3,1704.55,1713.8,-146.1,-7.86,146066900,1531.84,8.28,0.72,7.33
Nifty MNC,4/5/2020,12195.8,12211.8,12001.05,12053.45,-471.45,-3.76,548610522,5269.8,,3.33,2.17
Nifty Pharma,4/5/2020,9181.6,9507.45,9140.15,9364.6,37.5,0.4,87107464,5241.59,28.92,3.58,0.58
Nifty PSU Bank,4/5/2020,1287.05,1287.05,1241.2,1246.2,-79.85,-6.02,129705635,1359.57,,0.43,0
Nifty Realty,4/5/2020,181.45,182.2,173.9,174.3,-13,-6.94,10167821,183.7,16.49,1.55,0.56
Nifty India Consumption,4/5/2020,4395.3,4400,4321.9,4332.05,-177,-3.93,166967512,9865.3,47.29,4.93,1.35
Nifty Commodities,4/5/2020,2587,2590.75,2530.25,2534.1,-145.85,-5.44,276465231,7165.56,11.4,1.15,4.1
Nifty Dividend Opportunities 50,4/5/2020,2080.05,2081.25,2033.5,2037.35,-107.9,-5.03,443083209,8162.24,11.77,1.79,4.88
Nifty Infrastructure,4/5/2020,2684.25,2697.65,2656.9,2666.6,-86.55,-3.14,247913716,9098.83,21.93,1.81,2.24
Nifty PSE,4/5/2020,2368.95,2372.3,2329.1,2335.15,-104.15,-4.27,316468368,1992.03,7.37,0.96,6.54
Nifty Services Sector,4/5/2020,12912.2,12915.35,12457.4,12512.4,-925.55,-6.89,425765784,16649.98,21.01,2.76,1.47
Nifty50 Shariah,4/5/2020,-,-,-,2256,-114.04,-4.81,163854192,8937.18,21.86,4,2.26
Nifty500 Shariah,4/5/2020,-,-,-,2653,-116.35,-4.2,529921511,16345.99,23,3.81,1.84
Nifty Low Volatility 50,4/5/2020,-,-,-,9500.9,-341.25,-3.47,222100314,17017.04,20.87,3.46,1.73
Nifty Alpha 50,4/5/2020,11325.45,11368.65,11200.25,11305,-417.2,-3.56,209922773,15050.15,28.71,5.39,0.58
Nifty High Beta 50,4/5/2020,-,-,-,807.04,-55.57,-6.44,1251809082,10346.73,,0.59,3.21
Nifty100 Equal Weight,4/5/2020,10540.15,10546.2,10352.05,10375.55,-514.75,-4.73,1424063547,37809.41,48922.22,1.84,2.41
Nifty100 Liquid 15,4/5/2020,2332.5,2336.35,2281.4,2294.75,-136.15,-5.6,393408095,10586.45,25.22,1.32,2.29
Nifty CPSE,4/5/2020,1377.15,1382.15,1357.6,1366.25,-55.4,-3.9,84205895,709.18,7.1,0.94,7.32
Nifty50 Value 20,4/5/2020,4665.3,4667,4548.65,4558.9,-244.65,-5.09,250286822,7449.03,13.16,2.38,3.66
Nifty Midcap Liquid 15,4/5/2020,3103.55,3109.6,3028.2,3043,-165.9,-5.17,133464544,1988.16,14.66,1.66,2
Nifty Shariah 25,4/5/2020,-,-,-,3870.22,-173.14,-4.28,177523728,8697.02,22.36,3.32,1.86
India VIX,4/5/2020,33.9875,43.92,33.9875,43.67,9.68,28.49,-,-,-,-,-
Nifty Growth Sectors 15,4/5/2020,4857.9,4863,4678.15,4693.6,-328.65,-6.54,152109985,10834.58,20.58,4.19,1.2
Nifty50 TR 1x Inverse,4/5/2020,404.1,414.65,404.1,413.6,22.6,5.78,-,-,-,-,-
Nifty50 TR 2x Leverage,4/5/2020,3862.15,3862.15,3638.9,3660.8,-476.5,-11.52,-,-,-,-,-
Nifty50 PR 1x Inverse,4/5/2020,462.05,474.1,462.05,472.95,25.85,5.78,-,-,-,-,-
Nifty50 PR 2x Leverage,4/5/2020,2949.85,2949.85,2779.3,2796.05,-363.9,-11.52,-,-,-,-,-
NIFTY100 Quality 30,4/5/2020,2281.05,2282.45,2223.3,2225.85,-124.3,-5.29,182268492,13647.38,23.27,5.46,2.14
Nifty 50 Futures TR Index,4/5/2020,-,-,-,9447.72,-548.69,-5.49,-,-,-,-,-
Nifty 50 Arbitrage,4/5/2020,-,-,-,1906.65,-2.33,-0.12,-,-,-,-,-
NIFTY50 Equal Weight,4/5/2020,9607.5,9607.7,9400.55,9431.7,-527.15,-5.29,687487134,29785.95,15.91,1.78,2.81
Nifty100 Low Volatility 30,4/5/2020,7751.8,7753.95,7613.15,7624.25,-350.3,-4.39,207054012,16620.11,19.8,3.67,1.86
NIFTY Alpha Low-Volatility 30,4/5/2020,-,-,-,10171,-543.41,-5.07,247428462,17101.17,23.69,4.36,1.37
NIFTY Quality Low-Volatility 30,4/5/2020,-,-,-,7331.3,-383.15,-4.97,146405388,11295.31,24.16,5.81,1.78
NIFTY Alpha Quality Low-Volatility 30,4/5/2020,-,-,-,8468.69,-440.84,-4.95,184937173,16258.75,26.28,6.2,1.44
NIFTY Alpha Quality Value Low-Volatility 30,4/5/2020,-,-,-,6461.14,-300.47,-4.44,219854794,13344.35,17.94,3.57,2.38
NIFTY200 Quality 30,4/5/2020,8721.2,8730.75,8533.75,8542.45,-438.65,-4.88,134924711,9529.64,23.85,5.91,2.19
NIFTY LargeMidcap 250,4/5/2020,-,-,-,4700.83,-233.16,-4.73,1953642013,44360.67,22.6,2.45,1.45
NIFTY SME EMERGE,4/5/2020,-,-,-,1102.56,-0.62,-0.06,-,-,10.89,1.02,0.48
Nifty Oil & Gas,4/5/2020,-,-,-,4268.75,-154.1,-3.48,115152706,4827.35,11.44,1.46,3.66
NIFTY100 ESG,4/5/2020,-,-,-,1808.77,-98.87,-5.18,1227879080,34337.55,25.29,2.98,1.36
NIFTY100 Enhanced ESG,4/5/2020,-,-,-,1817.95,-101.36,-5.28,1188461703,32675.08,25.23,2.98,1.39
NIFTY500 Value 50,4/5/2020,-,-,-,2500.79,-151.23,-5.7,439624309,3274.72,6.39,0.61,8.22
NIFTY100 Alpha 30,4/5/2020,-,-,-,6757.82,-283.61,-4.03,227020365,18872.16,56.61,5,0.78
Nifty 50 Futures Index,4/5/2020,-,-,-,3092.75,-181.5,-5.54,-,-,-,-,-
Nifty Consumer Durables,4/5/2020,-,-,-,12444.29,-873.42,-6.56,11512039,795.03,41.35,7.99,0.57
Nifty Midcap 150,4/5/2020,5015.05,5017.3,4928.3,4950.3,-199.3,-3.87,529578466,6551.26,21.62,2.24,1.28
Nifty MidSmallcap 400,4/5/2020,4485.2,4487.2,4409.4,4428.4,-168.3,-3.66,743424853,8863.76,26.52,1.86,1.42
Nifty Smallcap 50,4/5/2020,1882.55,1883.5,1859.9,1869.3,-55.35,-2.88,80406846,1183.59,14.55,1.19,1.63
Nifty Smallcap 250,4/5/2020,3544.85,3548.5,3487.5,3502,-113.75,-3.15,213846387,2312.51,59.56,1.31,1.77
Nifty Private Bank,4/5/2020,11179.2,11189,10675.15,10733.65,-1009.8,-8.6,228635342,6456.15,21.34,2.14,0.61
Nifty Tata Group 25% Cap,4/5/2020,-,-,-,3586.75,-252.93,-6.59,136207268,2547.49,17.49,1.98,1.25
Nifty Tata Group,4/5/2020,-,-,-,5802.4,-301.84,-4.94,143698942,2627.48,21.37,4.39,1.33
Nifty Mahindra Group,4/5/2020,-,-,-,6299.91,-318.34,-4.81,34958569,1203.86,10.38,1.57,2.77
Nifty Aditya Birla Group,4/5/2020,-,-,-,2015.6,-129.67,-6.04,475653692,813.9,,1,0.52
Nifty 8-13 yr G-Sec,4/5/2020,2137.68,2144.61,2135.91,2142.62,5.32,0.25,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,4/5/2020,2279.72,2285.66,2279.26,2283.93,4.61,0.2,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,4/5/2020,2296.65,2303.31,2294.96,2301.39,5.16,0.22,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,4/5/2020,2504.18,2509.61,2504.18,2509.61,5.88,0.23,-,-,-,-,-
Nifty Composite G-sec Index,4/5/2020,2182.61,2187.93,2181.37,2186.11,3.89,0.18,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,4/5/2020,1968.45,1974.91,1964.62,1971.99,3.88,0.2,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),4/5/2020,973.78,976.99,971.88,975.54,1.76,0.18,-,-,-,-,-
Nifty 1D Rate Index,4/5/2020,-,-,-,1886.23,0.71,0.04,-,-,-,-,-
Nifty50 USD,4/5/2020,-,-,-,4252.88,-296.63,-6.52,-,-,-,-,-
Nifty 50,5/5/2020,9429.4,9450.9,9190.75,9205.6,-87.9,-0.95,725196178,29700.2,21.19,2.62,1.65
Nifty Next 50,5/5/2020,23435.7,23556.3,22740.9,22791.5,-317.45,-1.37,491226293,7592.03,61.7,3.01,1.45
Nifty 100,5/5/2020,9591.7,9615.8,9344.55,9358.9,-95.15,-1.01,1220003370,37305.02,23.35,2.67,1.62
Nifty 200,5/5/2020,4880.05,4893.6,4756.15,4763.15,-46.9,-0.98,1665071189,43000.21,22.82,2.55,1.61
Nifty 500,5/5/2020,7704.5,7727.75,7513.25,7523.05,-73.85,-0.97,1839701448,45876.31,23.83,2.47,1.59
Nifty Midcap 50,5/5/2020,3608.4,3626.3,3511.2,3518.8,-29.85,-0.84,406246552,4907.35,17.81,1.54,1.83
NIFTY Midcap 100,5/5/2020,13095.2,13162.6,12797.25,12817.4,-91,-0.7,445067819,5695.19,19.14,1.85,1.5
NIFTY Smallcap 100,5/5/2020,3990.55,4018.9,3895.5,3896.75,-49.6,-1.26,118587373,1754.22,,1.31,1.81
Nifty50 Dividend Points,5/5/2020,-,-,-,1.83,0,-,-,-,-,-,-
Nifty Auto,5/5/2020,5582.15,5602.1,5442.75,5451.9,-24.3,-0.44,161356727,3311.1,17.85,2.38,2.03
Nifty Bank,5/5/2020,20147.3,20223.15,19212.35,19271.75,-472,-2.39,381269938,9095.4,22.12,1.8,0.5
Nifty Energy,5/5/2020,12917.25,13119.1,12857.3,12897.9,171.25,1.35,165419674,4710.95,10.29,1.24,3.98
Nifty Financial Services,5/5/2020,9856,9912.35,9460,9483.15,-196.8,-2.03,302022710,13004.83,19.96,2.64,0.77
Nifty FMCG,5/5/2020,27815.7,28011.75,27065.85,27138.6,-460.4,-1.67,65780211,3698.67,31.79,9.22,1.52
Nifty IT,5/5/2020,13637.8,13667.85,13351.45,13388,-66.25,-0.49,35386135,2105.7,16.87,4.32,2.36
Nifty Media,5/5/2020,1125.55,1134.5,1095.45,1097.25,-11.3,-1.02,32329585,669.21,152.09,1.39,1.87
Nifty Metal,5/5/2020,1748.8,1755.5,1685.45,1693.65,-20.15,-1.18,145812363,1549.36,8.18,0.72,7.42
Nifty MNC,5/5/2020,12193.6,12229.05,11813.85,11845.15,-208.3,-1.73,286256770,4088.07,,3.28,2.21
Nifty Pharma,5/5/2020,9493.7,9503.75,9157.35,9181.5,-183.1,-1.96,52022881,3028.66,28.36,3.51,0.59
Nifty PSU Bank,5/5/2020,1262.5,1265.7,1203.45,1205.35,-40.85,-3.28,161093513,1888.79,,0.41,0
Nifty Realty,5/5/2020,177.1,177.25,169,169.3,-5,-2.87,11854952,192.71,16.02,1.51,0.58
Nifty India Consumption,5/5/2020,4381.7,4391.75,4265.75,4272.25,-59.8,-1.38,176664644,9828.85,46.83,4.86,1.36
Nifty Commodities,5/5/2020,2574.5,2597.4,2528.05,2535.85,1.75,0.07,315653426,7529.17,11.41,1.15,4.1
Nifty Dividend Opportunities 50,5/5/2020,2062.5,2074.75,2026.3,2029.1,-8.25,-0.4,410576481,6885.77,11.73,1.79,4.9
Nifty Infrastructure,5/5/2020,2700.9,2730.75,2665.95,2670.3,3.7,0.14,299321905,9293.52,21.96,1.81,2.24
Nifty PSE,5/5/2020,2370.65,2404.15,2331.55,2338.85,3.7,0.16,304840115,2471.52,7.38,0.96,6.53
Nifty Services Sector,5/5/2020,12718.6,12756.45,12321.15,12346.9,-165.5,-1.32,480380586,18416.05,20.73,2.73,1.49
Nifty50 Shariah,5/5/2020,-,-,-,2238.19,-17.81,-0.79,170325572,7427.76,21.69,3.97,2.28
Nifty500 Shariah,5/5/2020,-,-,-,2627.12,-25.87,-0.98,459960737,13720.46,22.8,3.77,1.86
Nifty Low Volatility 50,5/5/2020,-,-,-,9429.47,-71.43,-0.75,204664629,15269.57,20.77,3.43,1.75
Nifty Alpha 50,5/5/2020,11472.75,11506.55,11218.8,11234.65,-70.35,-0.62,223350804,15410.77,28.37,5.35,0.58
Nifty High Beta 50,5/5/2020,-,-,-,795,-12.04,-1.49,982309041,11992.46,,0.58,3.26
Nifty100 Equal Weight,5/5/2020,10532.3,10565.9,10245.35,10264.55,-111,-1.07,1220003370,37305.02,,1.82,2.43
Nifty100 Liquid 15,5/5/2020,2338.6,2341.25,2244.75,2250.3,-44.45,-1.94,428942964,11784.42,24.73,1.29,2.34
Nifty CPSE,5/5/2020,1389.05,1411.95,1367.95,1371.75,5.5,0.4,120402807,1082.5,7.13,0.95,7.29
Nifty50 Value 20,5/5/2020,4616.1,4632.75,4538.85,4545.4,-13.5,-0.3,263824947,6068.99,13.12,2.37,3.67
Nifty Midcap Liquid 15,5/5/2020,3096,3110.2,2988.25,2997,-46,-1.51,109137529,1681.33,14.44,1.64,2.03
Nifty Shariah 25,5/5/2020,-,-,-,3815.17,-55.05,-1.42,197219907,7792.78,22.1,3.27,1.89
